,predicted headline,actual headline
213,"Wish, the stealthy startup that’s challenging Amazon, has filed for a new round of funding.","Wish, the $3B startup challenging Amazon, is offering investors a sweet deal in a new round"
214,Rand Paul: I’m more harsh on female interviewers than males.,Rand Paul admits to ’short temper’
215,Rosenberg: Illegal Immigrant Is Not a Crime in the United States - Breitbart.,Dem Strategist Simon Rosenberg: ’Being Undocumented in the U.S. Is Not a Crime’ - Breitbart
216,Ohio releases graphic photos of heroin overdose.,This is the devastating effect of heroin that Ohio city wants you to see
217,’Hillbilly Elegy’: How a life changed for a man.,New book gives insight into Trump fervor
218,Brooks Koepka’s Final Round Showdown With Erin Hills.,Brooks Koepka Wins First Major at U.S. Open - Breitbart
219,Hillary Clinton’s Brexit Speech: ’We’re Going to Have to Talk About Brexit’ - Breitbart.,FARAGE FOR BREITBART: Trump Stole the March on Brexit and Now Hillary’s Floundering
220,"John Bolton: ’Terrorists’ Are ’Not a Thing’ in Britain, ’They’re a Thing’ in America",Bolton on London: ’Being Born on English Soil’ Doesn’t Strip Away Potential for Islamic Terrorism
221,Texas Congressman Calls for extradition of Mexican Drug Lord Joaquin ’El Chapo’ Guzman Loera.,Border Congressman Demands Extradition of El Chapo and Mexican Narco-Governors - Breitbart
222,4 cities are preparing to vote on ballot initiatives that could threaten the health of soda.,Four cities are voting on ballot initiatives that should terrify Coke and Pepsi
223,Knicks Star Anthony: ’We’ve Got to Do Something’ - Breitbart.,Knicks’ Carmelo Anthony Urges for Gun Control After Teammate’s Shooting - Breitbart
224,Yahoo’s Marissa Mayer is taking a hit from the $1.1 billion write down that she’s been taking on.,Yahoo just admitted that it overpaid for Tumblr
225,Britain’s Brexit Will Be a ‘Big Deal’.,"Having Won, Some ‘Brexit’ Campaigners Begin Backpedaling"
226,New York City Shut Down After Permitting Issues.,Outrage: NYC Health Department Closes Chick-Fil-A Due to Permitting Issue
227,"Hurricane Matthew: Live Storm Tracker Map, Answers to Readers.",Hurricane Matthew Toll Climbs to at Least 17 as North Carolina Suffers Record-Breaking Flooding
228,"Huma Abedin, Anthony Weiner, Anthony Weiner: What Will Happen in the White House?.",Will Anthony Weiner Live at the White House? - Breitbart
229,Kaepernick’s protest sparked outrage in military community.,Gold Star mom on Kaepernick: I see a flag that draped my son’s casket
230,"Rod Taylor, ’The Birds’ star, dies.",Actor Rod Taylor dead at 85
231,The world’s most autonomous car is on display at the Computer History Museum.,"Waymo is saying goodbye to the Firefly, its prototype for a self-driving car"
232,"Trump, Xi clash over North Korea.","Trump, Chinese leader face North Korea dilemma"
233,"Man in Stanton, Kentucky, Breaks Protection Order to Face Alleged Gun-Controlled Woman.","KY Man Violates Protective Order, Dies from Shot to Chest"
234,Inside the Los Angeles cartel’s hideout.,Dozens of MS-13 gang members nabbed in 50 Los Angeles raids
235,Prince Harry: ’I’m sorry’ for ’unwilling’ to talk to me.,Prince Harry sought counseling to cope with Diana’s death
236,Groups Sue DHS for White House Logs - Breitbart.,Soros-Financed Groups Unite to Sue for Trump White House Visitor Logs - Breitbart
237,Wharton Professor: ’Alarmism’ From Forecasters Is ’Alarmism’ From Forecasters - Breitbart.,J Scott Armstrong: Fewer Than 1 Percent Of Papers in Scientific Journals Follow Scientific Method - Breitbart
238,’Make Fruit Punch Great Again’ is a ’mobile art installation driven by its creators’.,"After buying Trump’s campaign bus off of Craigslist, 2 artists turned it into a mobile mockery of the man"
239,Cory Gardner: ’How on Earth Are You Going to Defeat ISIS If You Can’t Figure Out the @CoryGardnerConvention�,Cory Gardner on Colorado: ’Cruz had it. Trump didn’t. End of story.’ - Breitbart
240,DHS Report: IT Is ’Not Effective’ to Keep Up with Visa Overstays.,Tech Limitations Hinder ICE Enforcement of Visa Overstays
241,Pope Francis to Mexico: ’I Feel a Great Joy’.,Pope Sends Video to Mexicans: A Land ‘Beloved of God’
242,The First World War: The Battle of the Bitter Bitter Bitter Bitter.,"In France, a Monument Honors the American Flyers of World War I"
243,Wild animals roam Tbilisi after flooding.,"Flooding kills 12, sets zoo animals free in Tbilisi"
244,UKIP MEP: London Mayor Is Unwise To Slam Migrants.,LISTEN: Steven Woolfe Blasts Sadiq’s ’Shameful’ Immigration Message
245,George Michael’s Death Is a ‘Troubling Event’.,George Michael Wrestled With Fame. Frank Sinatra Had Some Advice.
246,Farage: Trump’s Victory ’The First Crack Out of the Wall’ - Breitbart.,Trump’s Victory ’First Real Kickback Against the Establishment’
247,Staff on UK’s NHS Are Having Private Health Insurance.,Britain’s Socialised Health Service Paying for Staff to Go Private - Breitbart
248,Clinton to meet with foreign leaders next week.,Clinton to meet with world leaders at UN meeting
249,Madonna: ’Someone Died’ After Trump Wins - Breitbart.,Madonna: ’Haven’t Had a Good Night’s Sleep’ Since Trump Won
250,New York Times: ’The New York Times’s ’New York Times’’s ’New York Times’’,"NY Times: Donald Trump Allies Focus Anger on Paul Ryan, GOP Leaders - Breitbart"
251,"Conway: Democrats ’Want to Go on the Record, They Have Time to Go and Cry’ at Airport Protest - Breitbart.",Conway: Dems Have Time to ‘Cry and Weep’ at Airports But Not Vote on Trump Nominations - Breitbart
252,Oliver Sacks: My life as a doctor.,Oliver Sacks says he has incurable cancer
253,Donald Trump’s Newest Moment: Black Lives Matter Protesters Strain Trump’s Rally - Breitbart.,Trump Against the World: The Donald Regains Control in Home Stretch - Breitbart
254,Jeanine: GOP Establishment ’Rallies’ to ’Show Their Loyalty’ by ’Rallying’ to ’,"Judge Jeanine to Establishment GOP: ’You’re in Power, Damn It! Do Something, Pass Something, Cut This Kumbaya Crap’ - Breitbart"
255,The market is a bit dicey right now.,Investors aren’t going to make money is this ’fragile’ market
256,Trump: ’The reverse can be true’.,Trump: Recent threats against JCCs might have been committed ’to make others look bad’
257,The Nigerian Student Who Told Me He’d Be a Christian.,An Almost-Love Story
258,Deaths in New York Legionnaires’ disease outbreak up to 7.,Seven dead in Legionnaires’ outbreak in New York
259,Jack Dorsey is working crazy hours to keep his job.,Jack Dorsey’s 18-hour workdays are about to be put to the test
260,Joe Manchin: I’m Not Going to Skip Obama’s Capitol Hill Meeting - Breitbart.,Manchin: I Plan to Skip Obama’s Capitol Hill Meeting Defending Obamacare
261,Donald Trump’s New York Real Estate Firm Is a ‘Racist’ Conspiracy.,Inside the Six Weeks Donald Trump Was a Nonstop ‘Birther’
262,Winners in the 2014 Military Photographer of the Year competition.,Military photography of the year
263,"Israeli Congressman: Obama Is ’The Reason Why We Have ISIS Beheading, Crucifixing, Slain, Slitting’.",Allen West Warns: Look to Israel For What’ll Happen If We Let Liberals ’WUSSIFY’ America
264,Kaepernick’s ’Racism’ Is a ’Racism’ - Breitbart.,Liberals Setting Up a Pass on Colin Kapernick’s NFL Free Agency as Evidence of ’Racism’ - Breitbart
265,FBI Arrests Wife of Orlando Terrorist Omar Mateen.,Pulse Massacre Jihadi’s Wife Arrested
266,"Alexis Arquette, transgender activist, dies.",Alexis Arquette dies at 47: Actress and transgender activist
267,Uber’s top lawyer is stepping aside from overseeing its legal operations.,Uber’s top lawyer is taking a new job in the company
268,Durst’s arrest: What happened to him?.,"Robert Durst withdrew $40,000, had mask, affidavit says"
269,The world’s most powerful machine learning team is building a new product that could revolutionize the way we .,You don’t need to have a computer science degree from Stanford to be working on one of Google’s hottest teams
270,"Cartel Threatens $500,000 Reward for Heads of Mexican Cartel.",VIDEO: Mexican Cartel Offers Rewards For Rivals’ Heads -- Border City Issues Red Alert
271,Spain’s Left-Wing Left-Wing Coalition Loses Its Commons in Second Election.,Spain’s Conservatives Steal Show From Podemos In Polls
272,Pat Caddell: ’I’m Interested in the Poll’ - Breitbart.,Pat Caddell: ‘This Election Will Change Amazingly’ if Trump Makes the Issue ‘Who Runs America?’
273,Jeff Sessions: Trump’s Globalism Is ’a Choice’ - Breitbart.,Sessions: 2016 Presidential Election A Choice Between Nationalism and ’Soulless Globalism’ - Breitbart
274,Lena Dunham Blames NFL Player Odell Beckham Jr. for ’Sickening’ Comments - Breitbart.,Lena Dunham Mocked for Assuming NFL Star Odell Beckham Jr. Snubbed Her ’Marshmallow’ Body - Breitbart
275,McClintock: Trump should be held to the letter of the Constitution.,Rep. McClintock’s town hall gets personal
276,"Badger Dead in Burrows, Scientists Find.","After Badger Buries Entire Cow Carcass, Scientists Go to the Tape"
277,Health Insurance Premiums Rise More Than Last 32 Years - Breitbart.,"Despite Obama Promises, Health Care Costs Have Risen the Most in 32 Years - Breitbart"
278,Nintendo to Release Mobile Games annually - Breitbart.,Nintendo Cashing In on Burgeoning Mobile Gaming Market - Breitbart
279,Obama’s legacy: What he said.,Obama’s ’arc’ on race relations
280,Pearl Harbor: The story of the American dream.,Remembering the date which will live in infamy
281,Roger Goodell: ’We Believe in Diversity’ - Breitbart.,NFL Establishes ’Rooney Rule’ for Women - Breitbart
282,Dr. Drew: Hillary Clinton ’Has Had Three Very Serious Complications’ - Breitbart.,Dr. Drew Still ’Worried’ About Hillary’s Health Treatment - Breitbart
283,Notch’s Twitter Account: ’FreeMilo’ Is ’Dick’ - Breitbart.,’Minecraft’ Creator Declares Support for #FreeMilo - Breitbart
284,Obama gives impassioned speech to troops defending his counterterrorism and strategy.,Obama delivers passionate defense of his counterterrorism strategy in final foreign policy speech
285,What is synthetic marijuana?.,Fewer K2 synthetic pot hospitalizations expected in New York City
286,Yemen suicide bombing: ISIS claims responsibility.,"Suicide bomber kills more than 50 in Yemen, ISIS claims responsibility"
287,IEX Group Wins Approval to Become New Stock Exchange.,"IEX Group, Critical of Wall St., Gains Approval for Stock Exchange"
288,"Trump’s Israel Push Is a Sign of His Anger, and a Sign of His Anger.",Trump Pressures Obama Over U.N. Resolution on Israeli Settlements
289,Hollywood Reporter: ’Strikingly Easy’ for Illegal Screenings to Gain Access to ’Islamist’ Talent.,THR: Hollywood Gripped By Red-Carpet Terror Fears - Breitbart
290,Barbara Corcoran’s story of how she got her $1 million fortune.,"’Shark Tank’ investor Barbara Corcoran says blowing $67,000 was probably the happiest day of her life"
291,The Fear of the Future.,Ten Meter Tower
292,Apple is going to push an update to nearly all iPhones next week.,The top 9 ways your iPhone is going to change when iOS 10 comes out
293,Ivanka Trump’s first public appearance since taking office.,Ivanka Trump quietly settles into White House life
294,LGBT Activists Want New Way to Label Sexualities.,’Eco Sexuals’ Boast of Masturbating Under Waterfalls and F**king Trees To Save The Planet
295,"Hackers breach voting databases in Illinois, Arizona.","Officials: Hackers breach election systems in Illinois, Arizona"
296,Live anthrax: Army finds it may have sent to Australia.,Army may have shipped live anthrax to Australia
297,Gorka: ’We’re Going to Be Very specific’ on Syria Missile Attack - Breitbart.,"Gorka on Syria: ‘This Is Not a Full-Throated War Deployment,’ Just ‘Surgical’ Missile Strike"
298,Boeing’s newest airliner takes to the sky for the first time.,Boeing’s newest airliner just flew for the first time
299,London Mayor Sadiq Khan: Terror Attacks Are Part and P,London’s Muslim Mayor Tells New York Terror Attacks Normal
300,Ted Cruz: ’He’s About To Fire His Ass Too’ - Breitbart.,"Rodman Rebounds: Trump About to Fire Cruz, Too - Breitbart"
301,Cruz: Trump ’Like Mick Jagger’ - ’He’s Like Mick Jagger’ - Breitbart.,"Cruz: Trump Parachutes In Like Mick Jagger, Gives A Performance and Leaves - Breitbart"
302,BuzzFeed Reporter Is Fired After Speaking Spanish on Phone - Breitbart.,BuzzFeed Busted For Hoax Trump Story
303,Ted Cruz’s China: ’Renaming a Part of the Street Across from China’.,Dianne Feinstein Loses Bid to Stop Cruz-Sponsored Move to Honor Chinese Dissident - Breitbart
304,Catholic Leaders Slam U.S. Attack on Syria as ’Scary’.,Catholic Leaders Criticize U.S. Attack on Assad Regime Complicated Plight of Christians in Syria Continues - Breitbart
305,Jeb Bush Calls Out Fox News for Its ’Bias’ in Primary - Breitbart.,Jeb Bush Joins Rebel Alliance: Fox News Has ’Different Standard’ for Marco Rubio - Breitbart
306,Steve King: Establishment ’Lying to the American People’ to Get Behind Hillary Clinton - Breitbart.,Rep. Steve King: GOP Establishment Could Back Hillary if Trump or Cruz Wins Nomination
307,Lori Greiner: ’Shark Tank’ investor Lori Greiner is the most successful entrepreneur in history.,’I know no no’s’: ’Shark Tank’ investor and serial entrepreneur explains why she isn’t fazed by rejection
308,The Truth: ‘The Truth’ Is a ‘Movies for Your Ear’.,11 Fiction Podcasts Worth a Listen
309,Hawaii Lawmakers Pro-Transgender Bathroom Bill Would End Sex Trafficking - Breitbart.,Hawaii Lawmakers Considering Bill to Legalize Prostitution - Breitbart
310,Brennan: Trump ’deeply saddened and angered’.,Brennan bashes Trump over speech during CIA visit
311,Hillary Clinton: ’It Takes More Than Trying to Make Up For A Year of Insults and Incest,Hillary’s Incoherent Attempt to Pre-empt Trump Mexico Visit
312,Roma’s Francesco Totti: ’You’ll leave the field’.,The legend of Francesco Totti in ten chapters
313,Boris Johnson’s Life and Times.,Luck Runs Out for a Leader of ‘Brexit’ Campaign
314,What to do if you get caught napping.,Asleep ramp agent in cargo hold leads to Alaska Airlines emergency landing
315,Venezuela Fast Facts.,Venezuela Fast Facts
316,Why smoking kills you.,The 6 most proven ways to quit smoking
317,Legal Insurrection Removes YouTube Channel Following Breitbart News Coverage - Breitbart.,YouTube Restores Conservative ’Legal Insurrection’ Channel Following Backlash - Breitbart
318,"Zulkiflee Anwar Ulhaque, Artist, Arrested for Cartooning.","A Malaysian Political Cartoonist on Facing His Fears, and Prison, for Art"
319,Nepal earthquake: What to do next.,In Nepal: A 10-year-old’s scary future after earthquake
320,France’s Terror Attacks: ’We’re Going to Be in a Hell of a Hell of a Hell’.,Security Experts Fear ’European 9/11’ In The Coming Year - Breitbart
321,What to do if you open a closed cupboard.,Cupboard puzzle drives internet mad -- can you work it out?
322,Steve Kerr: ’Maybe We Should Have Seen This Coming’ - Breitbart.,Warriors Coach Steve Kerr Likens Trump Election to Jerry Springer - Breitbart
323,Gavin Newsom: ’The Plumbing of the World Is Radical Changing’ - Breitbart.,California Lieutenant Governor Wants to Fight Job-Replacing Robots - Breitbart
324,Prosecutor: No Charges Would Be Implemented Against Michelle Gregg.,No Charges for Mother of Boy Who Slipped Into Gorilla Enclosure at Cincinnati Zoo
325,South Carolina police officer Michael Slager is facing life in prison for killing unarmed black man.,The murder trial of South Carolina officer who killed an unarmed black man was declared a mistrial – here’s what that means
326,Trump fires back at the Wall Street Journal editorial board after it criticized his Carrier deal.,Trump mocks Wall Street Journal editorial board: ’I don’t think they understand business’
327,"Duterte: ’If You Don’t Stop, You Don’t Stop’.",A Look Back at Rodrigo Duterte’s Worst Profanity-Laced Tirades
328,National Review’s Kevin Williamson: ’White Working Class Are the Only Ones Who Are Being Left Behind’ - Breitbart.,A Rebuttal to National Review’s Claim that White Working Class Communities Deserve to Die - Breitbart
329,How to Keep Climate Change from Happening.,"Iceland Carbon Dioxide Storage Project Locks Away Gas, and Fast"
330,The stadium’s place of worship.,Sports stadium architecture: Welcome to the new temples of pleasure
331,Hathaway Inc’s Warren Buffett is making a big change to its business.,Berkshire Hathaway earnings miss by $542 a share
332,"Michael Douglas, Robert Shapiro Join Megyn Kelly’s Megyn Kelly Special - Breitbart.",’Megyn Kelly Presents:’ Michael Douglas and Robert Shapiro Join Donald Trump on Fox Special - Breitbart
333,Chicago Tribune to Buy Orange County Register.,DOJ Blocks Chicago Tribune Buyout of OC Register - Breitbart
334,The SPLC’s Hate Crimes: The Biggest Broke-Stick-Up-Fake-News-Breakers-Ever-Won.,Ann Coulter: The Great Hijab Cover-Up - Breitbart
335,Trump’s new strategy to stop Syria is a ’flexible’ one.,How Trump went from wanting to stay out of Syria to going further than Obama ever did
336,Warriors sharpshooters are really good at shooting the basketball.,Stephen Curry and Kevin Durant are such good shooters they are destroying nets that are supposed to be indestructible
337,Donald Trump: Ted Cruz ‘A Great Win’ in Texas - Breitbart.,Donald Trump Congratulates Cruz On Texas Victory - Breitbart
338,Ukrainian government says civilian casualties spike.,Civilian casualties in eastern Ukraine highest since August 2015
339,Clinton: ’I’m Proud to Be Campaigning in California’ - Breitbart.,Watch: Hillary Clinton Has Another Coughing Spell - Breitbart
340,The Daily Mail: The Daily Mail’s ’Daily Mail’ - Breitbart.,Journo Attacked In Calais Reveals British Pro-Migration Activists ‘Bent On Spreading Violence Amongst Migrants’
341,Labour Party Members Pay tribute to Jo Cox.,PICTURES: Mourners Remember Murdered MP Jo Cox
342,Metallica Beats Coldplay at Super Bowl 50.,Metallica Exacts Revenge on Super Bowl With Epic Show
343,Rachel Dolezal’s story of racism and sexism.,Race hatred is a deep sickness in our society (Opinion)
344,Betsy DeVos: ’There Really Isn’t Any Common Core’ in Schools - Breitbart.,Education Sec Betsy DeVos: ‘There Isn’t Really Any Common Core Anymore’ in Schools - Breitbart
345,Donald Trump: ’Why Did They Only Complain After Hillary Lost?’ - Breitbart.,Donald Trump Hits President Obama for Complaining About the Election - Breitbart
346,USA Poll: Bernie Sanders Stronger Than Hillary Clinton - Breitbart.,USA Today National Poll: Bernie Slightly Stronger Than Hillary Against GOP - Breitbart
347,ISIS Leader’s Wife Is Charged in U.S. Court.,Widow of Islamic State Leader Charged In Death of American Kayla Mueller - Breitbart
348,Volkswagen is cutting its production of cars in the coming years.,German press: Volkswagen to phase out at least 40 car models
349,"Obama to Meet with Islamic Leader Who Says Gay Sex Is ’A Hated Act, It Is Haram’ - Breitbart.",Obama Willingly Met Islamic Preacher Who Said Gays Are ’Forbidden’ by Koran - Breitbart
350,Frank Gaffney: ’National Security Issues Matter’ in 2016 Presidential Race - Breitbart.,"Frank Gaffney: Saudis Waging ’Economic Warfare’ Against U.S., Attack on Fracking Industry Was a ’Hostile Action’ - Breitbart"
351,Donald Trump’s Debate: ’I Thought We Did Really Well’ - Breitbart.,"Sam Clovis: ‘Weak-Kneed, Lily-Livered Republicans’ Put on ‘Despicable Display of Cowardice’ by Abandoning Trump"
352,Obama’s trip to Paris.,"Obama, Kerry absent from unity rally in Paris"
353,ISIS video: Jordanian pilot killed in next 24 hours.,"Purported ISIS post threatens Japanese, Jordan captives"
354,The first dentists in the world are getting a new look.,This dentist office on wheels gives teeth cleanings and exams in Silicon Valley parking lots
355,Austria’s Norbert Hofer: Exit polls show victory.,Austria: Far-right nationalist Hofer admits defeat
356,Trump’s foreign policy speech: What it means.,’America First’ puts freedom and leadership last
357,Elie Wiesel: ‘Night’ Was ‘Medicine’ in the War Between Good and Evil.,"‘Mischling,’ a Holocaust Tale of Twin Sisters in Mengele’s Grip"
358,Trump’s Second Amendment Repeal Is a ’Big Deal’ - Breitbart.,Report: Trump Signs Repeal of Obama’s Social Security Gun Ban - Breitbart
359,Moroccans Protest in Morocco: ’Death of a Fishmonger’.,Protests Over Moroccan Fishmonger’s Death Echo Arab Spring
360,"Family, friends: Police break into mom’s apartment.",NYPD cop suspended after Snapchat handcuff post
361,Trump aide: Obama sanctions may have been aimed at restricting Trump.,Conway wonders if Russian sanctions were intended to restrict Trump
362,Report: Female Staffers Made Less Than $20K Less Than Their Male Staffers.,"Report: Sen. Elizabeth Warren’s Female Staffers Made $20,000 Less than Male Staffers - Breitbart"
363,Penguins’ Chris Kunitz: ’I’m Not Going to Let You Down’.,Kunitz’s Double-OT Goal Sends Penguins Back to Stanley Cup - Breitbart
364,"China and Norway Announce New Relations, Months After Nobel Peace Prize.","Norway and China Restore Ties, 6 Years After Nobel Prize Dispute"
365,Hillary: ’The Billionaires Are Opposing Me’ - Breitbart.,"Hillary: ’Anybody Who Knows Me Knows You Can’t Buy Me,’ Billionaires Are Against Me - Breitbart"
366,NBC News Corrects ’Leslie Jones Rips Simon Schuster’ for Publishing Book by White Nationalist Troll Milo Yiannopoulos - Breitbart.,FAKE NEWS: NBC News Issues Correction After Falsely Branding MILO as ‘White Nationalist’ - Breitbart
367,"Kid Rock: Kaepernick Should ’Be Shot’ at NFL, ’Be Shot at Me,’ ’Be Shot at Me,’",Kid Rock: F*** Colin Kaepernick - Breitbart
368,How to hack your home.,"Alexa, what other devices are listening to me?"
369,American Puzzles: A photographer’s journey.,Discovering ’American Puzzles’
370,US strikes kill al Qaeda leader.,US says it killed bin Laden-era al Qaeda leader in Syria
371,Bannon’s Harvard Years: A New Look at the Trump Campaign.,Boston Globe: Harvard Classmates Remember Steve Bannon’s Intellect and Leadership
372,Anderson Cooper: Hillary Clinton ’Shifting Her Positions to Get Close to Bernie Sanders’ - Breitbart.,Anderson Cooper: Hillary ’Shifting Positions To Get Closer To Bernie Sanders’ - Breitbart
373,MILO: ’White Working Class Turned Against the Democrat Party in a Historic Fashion’ - Breitbart.,MILO: ’Non-College Educated Doesn’t Mean Stupid’ - Breitbart
374,Trump ’Strongly Supports’ House Obamacare Replacement Effort - Breitbart.,White House: Trump Admin ’Strongly Supports’ Paul Ryan’s American Health Care Act - Breitbart
375,The New World Screworm Fly Is a New Threat to U.S..,"A Long-Gone Parasite Returns to Florida, Leaving a Trail of Dead Deer"
376,Trump’s wiretap claims: DOJ report doesn’t confirm Trump.,Sources: DOJ report does not confirm Trump’s wiretap claim
377,Fact Check: Donald Trump and Hillary Clinton Aren’t the Same.,Presidential Debate: Here’s What You Missed
378,The Art of the Wine-Cult.,When a Couch Is More Than a Couch
379,Migrant Camps Protected by Greek Border.,Open Borders Activists Again Whip Migrants Up Into Protests
380,Netanyahu and Melania Netanyahu Cook Up Storm for Trump Dinner.,"’Peace, Love and Gold’ Menu Revealed for Netanyahu’s Private Dinner with Trump"
381,Levin: Trump’s Trade Plan Is ‘The Most Inconvenient’ - Breitbart.,Mark Levin: Trump the Globalist - Breitbart
382,Trump attacks three prominent members of the Freedom Caucus for opposing the American Health Care Act.,Trump directly attacks Freedom Caucus members on Twitter over healthcare battle
383,Trump: CNN ’Never Called Me’ - Breitbart.,Roger Stone Responds: CNN’s ’Ban Is Really About My Book On the Clintons’ - Breitbart
384,"Obama: ’We Need To Change An Internet Where Women Are Harassed, Threatened’ - Breitbart.",‘Feminist’ Obama: We Need To Change The Internet To Protect Women - Breitbart
385,Marco Rubio: Chris Crane ’An American Hero’ - Breitbart.,Trump Campaign Defends ‘American Hero’ Chris Crane from Marco Rubio’s Screed - Breitbart
386,Jill Stein’s campaign says it won’t take part in recount efforts.,Clinton to join recount that Trump calls ’scam’
387,Salk Institute Puts Baby Hybrid Into Pregnant sow.,Salk Institute Creates Human-Pig Hybrid Embryo - Breitbart
388,Trump: Cruz ’a Fraud’ and ’a Fraud’ - Breitbart.,"Trump: Without Cruz’s ’Fraud,’ ’I Probably Came In First’ in Iowa - Breitbart"
389,What to watch in Syria.,Iran can’t be forced out of Syria -- but it can be contained
390,Clinton on expanding health insurance: ’Public option’ for states.,Clinton backs public option on health care
391,Israeli Knesset Minister: Trump’s Middle East Push ’Inspired’ by Trump’s Middle East Push.,"Israeli Minister Publicly Meets Gulf Officials, Credits Trump Visit as Game Changer"
392,Harry Potter Author J.K. Rowling Defends Trump: ’He’s Offensive and Bigoted’.,J.K. Rowling Defends Trump’s Right To Be an Offensive Bigot - Breitbart
393,Vatican Radio: ’Desparacido’ Is ’Late’ in Mexico.,"Vatican Acknowledges 26,000 Missing in Mexico, Ignores Network of Cartel’s Body-Burning Ovens"
394,Why the shires of England are so angry.,Brexit: Why are Brits thumbing their noses?
395,Syria: What we know and don’t know.,Survivors of Syrian attack describe chemical bombs falling from sky
396,Scotland to seek independence for second time.,Scotland likely to seek independence after EU vote
397,Man Found Dead in Central Park in 24 Hours - Breitbart.,Police: Two Men Found Dead in NYC’s Central Park in the Span of 24 Hours - Breitbart
398,Obama: Hillary Clinton ’Deeply Scared’ of Black Lives Matter - Breitbart.,"President Obama Shifts Focus to Police Shootings, Urges ’Come Together As a Nation’ - Breitbart"
399,Pope Francis resigns commission investigating sex abuse.,Report: Vatican sex abuse commission member quits
400,Aleppo: The Battle for Aleppo.,Notes From Aleppo: Intimate Glimpses of War-Ravaged Syria
401,Protesters Clash With Police in Germany.,VIDEO: German ‘Anti Fascists’ Attack Police Instead Of Fascists
402,The Rise of Working-Class Families.,America’s Inequality Problem: Real Income Gains Are Brief and Hard to Find
403,Mike Huckabee: Obama’s UN Resolution ‘Boneheaded’ - Breitbart.,WATCH: Mike Huckabee In ’Seething Rage’ Over Obama’s ’Cowardly’ UN Anti-Israel Move - Breitbart
404,Obama’s Campaign Blames Comey for Comey’s Firing - Breitbart.,James Comey’s Democrat Critics Now See Russian Conspiracy in Trump’s Firing
405,South Korea’s courts overturns adultery law.,Court: Adultery now not a crime in South Korea
406,BuzzFeed Editor Craig Silverman Is a Fellow Professor at Poynter Institute.,How BuzzFeed Editor Craig Silverman Helped Generate the ’Fake News’ Crisis - Breitbart
407,Catherine Engelbrecht: Trump’s Voter Fraud Executive Order ’On the verge of a systemic cri,True the Vote’s Engelbrecht: U.S. on Verge of ‘Systemic’ Voter Fraud Crisis Could Turn a ‘Major Election’
408,Mark Cuban trolled Donald Trump by releasing a parody video of the song ’Billionaire’.,Mark Cuban trolls Donald Trump with hilarious parody video of him singing ’Billionaire’
409,The real reason Trump’s election is so close is because of the way he’s been running.,It was the day a Trump presidency started to seem much more realistic
410,The world’s biggest ship.,Rare images of a ’rock star’ mega-ship
411,Washington Post’s Balz: ’It’s Going to Be Needful’ for Republicans to ’Check’ Trump.,Washington Post’s Chief Correspondent Trolls Republicans to Turn on President Trump
412,Jenner Denies ’Sex Change Refusal’ and ’Abortion’ Back Into Man - Breitbart.,Report: Jenner Considers ’De-Transitioning’ Back to Being Man - Breitbart
413,’Testicle rejuvenation’ Is on the Rise in Hollywood - Breitbart.,Hollywood Embraces ’Scrotox’ Cosmetic Testicle Injections
414,"9,000 Companies Leave California in 2015 - Breitbart.","9,000 Companies Left California Since 2008"
415,Mylan’s settlement with the Justice Department is a big deal for the health care industry.,The maker of EpiPen won’t answer this yes or no question about its DOJ settlement
416,Obama Nominates Merrick Garland to SCOTUS.,"McConnell Says ’No’ to Garland, Citing ’Biden Rule’ - Breitbart"
417,Joy Villa: I Want To Sing ’We Are The Champions’ For Trump - Breitbart.,Exclusive: Joy Villa Reveals Dream White House Gig
418,Ethiopia’s renewable energy sector is on track to grow.,Ethiopia becomes the wind capital of Africa
419,Microsoft Acquires LinkedIn in $26.2 Billion Cash Deal.,"Microsoft Buys LinkedIn for $26.2 Billion, Reasserting Its Muscle"
420,Dowd: America Is ’Incedented Times’ With Civil War-Style Election Day - Breitbart.,ABC’s Dowd: America as Divided Now as It Was During the Civil War - Breitbart
421,British Police Officer Accused of Eating PC Gordon Semple’s Body Parts.,"Man Allegedly Strangled, Dismembered, Eaten with Chopsticks by Grindr Date - Breitbart"
422,Nigel Farage Is No Longer a Wankerati.,Farage: The Greatest British Politician Since Margaret Thatcher
423,"Elie Wiesel, World War Two Death Camp Survivor, Dies at 87.","Elie Wiesel, Holocaust Survivor and Nobel Laureate, Dies at 87"
424,North Korea’s space program: What it means.,North Korean space scientist: ’We come in peace’
425,Lily’s Stepmother’s Playmates Are a ‘Dichs’.,In the Shadow of a Fairy Tale
426,Sydney’s iconic Bondi Beach.,Rebuilding Australia’s ’cultural cathedrals’
427,Trump Transition Team Is Looking for a New Border Wall.,"Trump Seeks Path for Mexico Barrier. But Will It Be a ‘Big, Beautiful Wall’?"
428,‘Earned It’: The New York Times’s ‘Earned It’.,The Playlist: Taylor Swift and the Jesus and Mary Chain Offer Different Shades of Teases
429,Ghostbusters: ’Social Justice’ Is a Financial Success - Breitbart.,A Ghost Bust: Feminist ’Ghostbusters’ Reboot Millions Away from Recouping Costs - Breitbart
430,Sweden’s Foreign Rape Victims Are Deported From Country.,Fewer than One in Five Foreign Rapists Deported from Sweden
431,Obamacare Health Insurance Is Under State Control Because of Obamacare’s Status as ’Unstable’ - Breitbart.,Connecticut Obamacare Co-Op Going Out of Business - Breitbart
